Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#47 - >sp|Q9Y5Q9|TF3C3_HUMAN General transcription factor 3C polypeptide 3 OS=Homo sapiens OX=9606 GN=GTF3C3 PE=1 SV=1	superfamily	274350	145	514	1.70639e-08	58.5564	cl37187	PEP_TPR_lipo superfamily	N	 - 
Q#47 - >sp|Q9Y5Q9|TF3C3_HUMAN General transcription factor 3C polypeptide 3 OS=Homo sapiens OX=9606 GN=GTF3C3 PE=1 SV=1	specific	197478	812	842	0.00233704	36.2704	smart00028	TPR	 - 	cl22897
Q#48 - >sp|P04198|MYCN_HUMAN N-myc proto-oncogene protein OS=Homo sapiens OX=9606 GN=MYCN PE=1 SV=2	specific	426019	10	372	4.91993e-148	425.331	pfam01056	Myc_N	 - 	cl03082
Q#48 - >sp|P04198|MYCN_HUMAN N-myc proto-oncogene protein OS=Homo sapiens OX=9606 GN=MYCN PE=1 SV=2	specific	381462	378	464	1.02768e-59	190.114	cd11456	bHLHzip_N-Myc_like	 - 	cl00081
Q#49 - >sp|Q8WYN3|CSRN3_HUMAN Cysteine/serine-rich nuclear protein 3 OS=Homo sapiens OX=9606 GN=CSRNP3 PE=2 SV=1	specific	435075	61	279	1.78462e-140	405.91	pfam16019	CSRNP_N	 - 	cl24551
Q#50 - >sp|Q8WY54|PPM1E_HUMAN Protein phosphatase 1E OS=Homo sapiens OX=9606 GN=PPM1E PE=1 SV=3	specific	238083	230	488	5.13447e-84	266.885	cd00143	PP2Cc	 - 	cl00120
Q#51 - >sp|Q6ZU67|BEND4_HUMAN BEN domain-containing protein 4 OS=Homo sapiens OX=9606 GN=BEND4 PE=2 SV=3	specific	214981	412	490	5.19549e-13	64.3073	smart01025	BEN	 - 	cl11158
Q#51 - >sp|Q6ZU67|BEND4_HUMAN BEN domain-containing protein 4 OS=Homo sapiens OX=9606 GN=BEND4 PE=2 SV=3	specific	197664	325	362	0.0017112	36.7732	smart00338	BRLZ	N	cl21462
Q#52 - >sp|P37275|ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2	specific	433230	946	971	4.23926e-07	46.9655	pfam13465	zf-H2C2_2	 - 	cl22375
Q#52 - >sp|P37275|ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2	specific	433230	254	277	7.85384e-07	46.1951	pfam13465	zf-H2C2_2	 - 	cl22375
Q#52 - >sp|P37275|ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2	specific	395048	240	262	3.90824e-06	44.2133	pfam00096	zf-C2H2	 - 	cl23491
Q#52 - >sp|P37275|ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2	specific	395048	932	954	3.30358e-05	41.5169	pfam00096	zf-C2H2	 - 	cl23491
Q#52 - >sp|P37275|ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2	specific	433230	918	943	9.64314e-05	40.4171	pfam13465	zf-H2C2_2	 - 	cl22375
Q#52 - >sp|P37275|ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2	superfamily	444687	581	629	0.000546612	39.0291	cl00084	homeodomain superfamily	 - 	 - 
Q#52 - >sp|P37275|ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2	superfamily	227596	27	197	0.000571511	44.2195	cl34967	MDN1 superfamily	N	 - 
Q#52 - >sp|P37275|ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2	specific	395048	200	222	0.00458017	35.3537	pfam00096	zf-C2H2	 - 	cl23491
Q#53 - >sp|P50219|MNX1_HUMAN Motor neuron and pancreas homeobox protein 1 OS=Homo sapiens OX=9606 GN=MNX1 PE=1 SV=3	specific	425441	244	297	1.62939e-26	100.276	pfam00046	Homeobox	 - 	cl00084
Q#54 - >sp|Q15269|PWP2_HUMAN Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=1 SV=2	specific	238121	322	629	1.89136e-49	176.757	cd00200	WD40	 - 	cl29593
Q#54 - >sp|Q15269|PWP2_HUMAN Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=1 SV=2	specific	427644	770	875	4.74552e-25	100.308	pfam04003	Utp12	 - 	cl23538
Q#54 - >sp|Q15269|PWP2_HUMAN Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=1 SV=2	superfamily	453027	96	443	2.45208e-22	98.176	cl29593	WD40 superfamily	 - 	 - 
Q#55 - >sp|Q6PJT7|ZC3HE_HUMAN Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1	specific	434069	601	618	0.000111595	39.4272	pfam14608	zf-CCCH_2	 - 	cl20584
Q#55 - >sp|Q6PJT7|ZC3HE_HUMAN Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1	specific	434069	621	639	0.000375662	37.8864	pfam14608	zf-CCCH_2	 - 	cl20584
Q#55 - >sp|Q6PJT7|ZC3HE_HUMAN Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1	specific	434069	681	698	0.0034704	35.19	pfam14608	zf-CCCH_2	 - 	cl20584
Q#56 - >sp|P46087|NOP2_HUMAN Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2	specific	223222	257	586	5.79673e-117	358.241	COG0144	RsmB	 - 	cl33775
Q#57 - >sp|Q9ULT8|HECD1_HUMAN E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens OX=9606 GN=HECTD1 PE=1 SV=4	specific	238033	2131	2608	3.33732e-119	381.528	cd00078	HECTc	 - 	cl27008
Q#57 - >sp|Q9ULT8|HECD1_HUMAN E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens OX=9606 GN=HECTD1 PE=1 SV=4	specific	439138	1893	1958	1.14594e-37	136.258	cd21062	BTHB_HectD1	 - 	cl39748
Q#57 - >sp|Q9ULT8|HECD1_HUMAN E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens OX=9606 GN=HECTD1 PE=1 SV=4	specific	400199	1107	1240	8.97222e-33	124.71	pfam07738	Sad1_UNC	 - 	cl23730
Q#57 - >sp|Q9ULT8|HECD1_HUMAN E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens OX=9606 GN=HECTD1 PE=1 SV=4	specific	429078	1277	1335	2.28166e-24	98.0341	pfam06701	MIB_HERC2	 - 	cl05972
Q#57 - >sp|Q9ULT8|HECD1_HUMAN E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens OX=9606 GN=HECTD1 PE=1 SV=4	specific	432791	366	457	2.31823e-12	64.7583	pfam12796	Ank_2	 - 	cl39094
Q#58 - >sp|O60315|ZEB2_HUMAN Zinc finger E-box-binding homeobox 2 OS=Homo sapiens OX=9606 GN=ZEB2 PE=1 SV=1	specific	433230	296	319	6.49638e-06	43.8839	pfam13465	zf-H2C2_2	 - 	cl22375
Q#58 - >sp|O60315|ZEB2_HUMAN Zinc finger E-box-binding homeobox 2 OS=Homo sapiens OX=9606 GN=ZEB2 PE=1 SV=1	specific	395048	282	304	2.52987e-05	41.9021	pfam00096	zf-C2H2	 - 	cl23491
Q#58 - >sp|O60315|ZEB2_HUMAN Zinc finger E-box-binding homeobox 2 OS=Homo sapiens OX=9606 GN=ZEB2 PE=1 SV=1	specific	433230	1041	1066	3.27225e-05	41.5727	pfam13465	zf-H2C2_2	 - 	cl22375
Q#58 - >sp|O60315|ZEB2_HUMAN Zinc finger E-box-binding homeobox 2 OS=Homo sapiens OX=9606 GN=ZEB2 PE=1 SV=1	specific	433230	1013	1038	0.000204749	39.6467	pfam13465	zf-H2C2_2	 - 	cl22375
Q#58 - >sp|O60315|ZEB2_HUMAN Zinc finger E-box-binding homeobox 2 OS=Homo sapiens OX=9606 GN=ZEB2 PE=1 SV=1	specific	395048	241	263	0.00731947	34.9685	pfam00096	zf-C2H2	 - 	cl23491
Q#58 - >sp|O60315|ZEB2_HUMAN Zinc finger E-box-binding homeobox 2 OS=Homo sapiens OX=9606 GN=ZEB2 PE=1 SV=1	superfamily	428539	209	263	0.00808269	35.7395	cl05267	zf-Di19 superfamily	 - 	 - 
Q#60 - >sp|Q9UK76|JUPI1_HUMAN Jupiter microtubule associated homolog 1 OS=Homo sapiens OX=9606 GN=JPT1 PE=1 SV=3	superfamily	293659	1	58	8.90776e-06	43.4981	cl25291	JUPITER superfamily	C	 - 
Q#61 - >sp|P52954|LBX1_HUMAN Transcription factor LBX1 OS=Homo sapiens OX=9606 GN=LBX1 PE=1 SV=2	specific	425441	128	181	3.47685e-24	92.1866	pfam00046	Homeobox	 - 	cl00084
Q#62 - >sp|Q9ULU4|ZMYD8_HUMAN MYND-type zinc finger-containing chromatin reader ZMYND8 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2	specific	432301	422	620	4.39286e-81	263.31	pfam12064	DUF3544	 - 	cl13494
Q#62 - >sp|Q9ULU4|ZMYD8_HUMAN MYND-type zinc finger-containing chromatin reader ZMYND8 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2	specific	99940	151	249	7.53084e-59	196.835	cd05508	Bromo_RACK7	 - 	cl02556
Q#62 - >sp|Q9ULU4|ZMYD8_HUMAN MYND-type zinc finger-containing chromatin reader ZMYND8 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2	specific	438988	272	362	1.92748e-56	189.699	cd20160	PWWP_PRKCBP1	 - 	cl02554
Q#62 - >sp|Q9ULU4|ZMYD8_HUMAN MYND-type zinc finger-containing chromatin reader ZMYND8 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2	specific	277013	90	130	2.1907e-23	93.5452	cd15538	PHD_PRKCBP1	 - 	cl22851
Q#62 - >sp|Q9ULU4|ZMYD8_HUMAN MYND-type zinc finger-containing chromatin reader ZMYND8 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2	specific	426410	1028	1062	3.69218e-07	47.4033	pfam01753	zf-MYND	 - 	cl20224
Q#62 - >sp|Q9ULU4|ZMYD8_HUMAN MYND-type zinc finger-containing chromatin reader ZMYND8 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2	superfamily	227367	4	133	3.91119e-06	49.9356	cl34876	TNG2 superfamily	N	 - 
Q#62 - >sp|Q9ULU4|ZMYD8_HUMAN MYND-type zinc finger-containing chromatin reader ZMYND8 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2	superfamily	349951	955	1024	0.000536882	41.2691	cl38961	ATP-synt_Fo_b superfamily	N	 - 
Q#62 - >sp|Q9ULU4|ZMYD8_HUMAN MYND-type zinc finger-containing chromatin reader ZMYND8 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2	superfamily	310411	602	760	0.00184685	42.2441	cl37738	TFIIF_alpha superfamily	NC	 - 
Q#63 - >sp|O60336|MABP1_HUMAN Mitogen-activated protein kinase-binding protein 1 OS=Homo sapiens OX=9606 GN=MAPKBP1 PE=1 SV=4	superfamily	453027	83	427	5.95969e-32	127.066	cl29593	WD40 superfamily	 - 	 - 
Q#63 - >sp|O60336|MABP1_HUMAN Mitogen-activated protein kinase-binding protein 1 OS=Homo sapiens OX=9606 GN=MAPKBP1 PE=1 SV=4	superfamily	453027	349	731	9.41783e-32	126.296	cl29593	WD40 superfamily	 - 	 - 
Q#63 - >sp|O60336|MABP1_HUMAN Mitogen-activated protein kinase-binding protein 1 OS=Homo sapiens OX=9606 GN=MAPKBP1 PE=1 SV=4	superfamily	223021	759	1189	4.77187e-05	48.3961	cl33720	PHA03247 superfamily	N	 - 
Q#63 - >sp|O60336|MABP1_HUMAN Mitogen-activated protein kinase-binding protein 1 OS=Homo sapiens OX=9606 GN=MAPKBP1 PE=1 SV=4	superfamily	223021	1125	1374	0.00883455	40.6921	cl33720	PHA03247 superfamily	N	 - 
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	specific	350813	736	967	3.17874e-161	492.989	cd18055	DEXHc_CHD3	 - 	cl28899
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	superfamily	215601	719	1273	2.73963e-158	515.505	cl33647	PLN03142 superfamily	C	 - 
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	specific	429820	1737	1882	9.39999e-97	307.833	pfam08074	CHDCT2	 - 	cl06903
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	specific	428953	1378	1517	4.93119e-81	262.666	pfam06461	DUF1086	 - 	cl05788
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	specific	349314	505	583	2.92568e-42	149.41	cd18667	CD1_tandem_CHD3-4_like	 - 	cl28914
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	specific	349309	628	682	1.78847e-32	120.447	cd18662	CD2_tandem_CHD3-4_like	 - 	cl28914
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	specific	277006	381	423	2.77538e-30	113.851	cd15531	PHD1_CHD_II	 - 	cl22851
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	specific	277007	458	500	1.01412e-27	106.596	cd15532	PHD2_CHD_II	 - 	cl22851
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	specific	429819	148	201	2.94303e-26	102.758	pfam08073	CHDNT	 - 	cl06902
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	specific	428956	1314	1357	4.63233e-17	76.671	pfam06465	DUF1087	N	cl05792
Q#64 - >sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3	superfamily	177646	1519	1668	0.000167243	45.1144	cl25519	PHA03418 superfamily	C	 - 
Q#65 - >sp|Q9BXV9|GON7_HUMAN EKC/KEOPS complex subunit GON7 OS=Homo sapiens OX=9606 GN=GON7 PE=1 SV=2	specific	405966	3	98	1.21906e-36	119.124	pfam15387	DUF4611	 - 	cl21224
Q#66 - >sp|Q8WV44|TRI41_HUMAN E3 ubiquitin-protein ligase TRIM41 OS=Homo sapiens OX=9606 GN=TRIM41 PE=1 SV=3	specific	240499	432	630	1.12855e-145	420.323	cd13741	SPRY_PRY_TRIM41	 - 	cl02614
Q#66 - >sp|Q8WV44|TRI41_HUMAN E3 ubiquitin-protein ligase TRIM41 OS=Homo sapiens OX=9606 GN=TRIM41 PE=1 SV=3	superfamily	450175	15	48	1.4514e-18	79.585	cl17238	RING_Ubox superfamily	C	 - 
Q#66 - >sp|Q8WV44|TRI41_HUMAN E3 ubiquitin-protein ligase TRIM41 OS=Homo sapiens OX=9606 GN=TRIM41 PE=1 SV=3	specific	380820	225	268	7.18054e-17	74.27	cd19762	Bbox2_TRIM7-like	 - 	cl00034
Q#66 - >sp|Q8WV44|TRI41_HUMAN E3 ubiquitin-protein ligase TRIM41 OS=Homo sapiens OX=9606 GN=TRIM41 PE=1 SV=3	superfamily	426264	263	374	1.10362e-05	46.1109	cl27567	Apolipoprotein superfamily	N	 - 
Q#66 - >sp|Q8WV44|TRI41_HUMAN E3 ubiquitin-protein ligase TRIM41 OS=Homo sapiens OX=9606 GN=TRIM41 PE=1 SV=3	superfamily	450175	182	211	0.00390915	36.4155	cl17238	RING_Ubox superfamily	N	 - 
Q#67 - >sp|Q8IVL6|P3H3_HUMAN Prolyl 3-hydroxylase 3 OS=Homo sapiens OX=9606 GN=P3H3 PE=1 SV=1	specific	214780	474	674	7.55223e-30	115.948	smart00702	P4Hc	 - 	cl21496
Q#68 - >sp|Q9BW71|HIRP3_HUMAN HIRA-interacting protein 3 OS=Homo sapiens OX=9606 GN=HIRIP3 PE=1 SV=3	specific	198150	484	520	2.80121e-07	47.0203	smart01082	CHZ	 - 	cl09864
Q#69 - >sp|P30291|WEE1_HUMAN Wee1-like protein kinase OS=Homo sapiens OX=9606 GN=WEE1 PE=1 SV=2	specific	271040	293	568	0	618.191	cd14138	PTKc_Wee1a	 - 	cl21453
Q#69 - >sp|P30291|WEE1_HUMAN Wee1-like protein kinase OS=Homo sapiens OX=9606 GN=WEE1 PE=1 SV=2	superfamily	223039	48	176	0.000151017	45.1621	cl33723	PHA03307 superfamily	C	 - 
Q#70 - >sp|O75381|PEX14_HUMAN Peroxisomal membrane protein PEX14 OS=Homo sapiens OX=9606 GN=PEX14 PE=1 SV=1	specific	428070	24	68	5.63939e-15	68.3447	pfam04695	Pex14_N	 - 	cl04682
Q#72 - >sp|Q96GN5|CDA7L_HUMAN Cell division cycle-associated 7-like protein OS=Homo sapiens OX=9606 GN=CDCA7L PE=1 SV=2	specific	431318	345	443	1.41286e-65	205.568	pfam10497	zf-4CXXC_R1	 - 	cl20401
Q#73 - >sp|Q9Y5B9|SP16H_HUMAN FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1	superfamily	227693	5	1001	0	669.411	cl34996	COG5406 superfamily	 - 	 - 
Q#74 - >sp|Q9H501|ESF1_HUMAN ESF1 homolog OS=Homo sapiens OX=9606 GN=ESF1 PE=1 SV=1	superfamily	227925	301	836	2.5099e-57	207.713	cl35032	COG5638 superfamily	 - 	 - 
Q#75 - >sp|Q9Y4C8|RBM19_HUMAN Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3	specific	409983	400	478	6.1974e-52	176.044	cd12567	RRM3_RBM19	 - 	cl17169
Q#75 - >sp|Q9Y4C8|RBM19_HUMAN Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3	specific	409985	832	910	2.04607e-49	168.763	cd12571	RRM6_RBM19	 - 	cl17169
Q#75 - >sp|Q9Y4C8|RBM19_HUMAN Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3	specific	409980	2	77	1.52807e-45	157.474	cd12564	RRM1_RBM19	 - 	cl17169
Q#75 - >sp|Q9Y4C8|RBM19_HUMAN Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3	specific	409984	587	658	1.84141e-42	148.696	cd12569	RRM4_RBM19	 - 	cl17169
Q#75 - >sp|Q9Y4C8|RBM19_HUMAN Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3	specific	409925	294	365	4.70146e-41	144.867	cd12502	RRM2_RMB19	 - 	cl17169
Q#75 - >sp|Q9Y4C8|RBM19_HUMAN Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3	specific	409757	730	809	4.01021e-40	142.366	cd12318	RRM5_RBM19_like	 - 	cl17169
Q#76 - >sp|Q13206|DDX10_HUMAN Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=2	specific	350699	80	277	6.50649e-142	418.232	cd17941	DEADc_DDX10	 - 	cl28899
Q#76 - >sp|Q13206|DDX10_HUMAN Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=2	specific	223587	50	518	2.56795e-113	356.022	COG0513	SrmB	 - 	cl33924
Q#77 - >sp|Q641Q2|WAC2A_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=3	specific	434577	943	1080	9.34894e-76	247.037	pfam15255	CAP-ZIP_m	 - 	cl21113
Q#77 - >sp|Q641Q2|WAC2A_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=3	superfamily	240271	595	816	0.00468174	41.5704	cl36510	PTZ00108 superfamily	N	 - 
Q#78 - >sp|Q9BZI1|IRX2_HUMAN Iroquois-class homeodomain protein IRX-2 OS=Homo sapiens OX=9606 GN=IRX2 PE=1 SV=2	specific	428673	133	171	2.14337e-17	75.2449	pfam05920	Homeobox_KN	 - 	cl00084
Q#78 - >sp|Q9BZI1|IRX2_HUMAN Iroquois-class homeodomain protein IRX-2 OS=Homo sapiens OX=9606 GN=IRX2 PE=1 SV=2	specific	214716	322	339	0.00260921	35.2451	smart00548	IRO	 - 	cl11733
Q#80 - >sp|P25490|TYY1_HUMAN Transcriptional repressor protein YY1 OS=Homo sapiens OX=9606 GN=YY1 PE=1 SV=2	specific	227381	268	407	2.96788e-10	61.6354	COG5048	COG5048	N	cl34881
Q#81 - >sp|Q6DD87|ZN787_HUMAN Zinc finger protein 787 OS=Homo sapiens OX=9606 GN=ZNF787 PE=1 SV=4	specific	227381	67	200	1.53842e-09	59.3242	COG5048	COG5048	N	cl34881
Q#82 - >sp|Q9P2H5|UBP35_HUMAN Ubiquitin carboxyl-terminal hydrolase 35 OS=Homo sapiens OX=9606 GN=USP35 PE=1 SV=3	superfamily	351799	442	924	1.56872e-96	308.267	cl02553	Peptidase_C19 superfamily	 - 	 - 
Q#83 - >sp|P26583|HMGB2_HUMAN High mobility group protein B2 OS=Homo sapiens OX=9606 GN=HMGB2 PE=1 SV=2	specific	438795	93	163	3.00006e-43	139.469	cd21979	HMG-box_HMGB_rpt2	 - 	cl00082
Q#83 - >sp|P26583|HMGB2_HUMAN High mobility group protein B2 OS=Homo sapiens OX=9606 GN=HMGB2 PE=1 SV=2	specific	438794	8	76	7.18946e-38	125.491	cd21978	HMG-box_HMGB_rpt1	 - 	cl00082
Q#85 - >sp|Q8IWS0|PHF6_HUMAN PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1	specific	277180	17	131	1.44418e-75	228.692	cd15710	ePHD1_PHF6	 - 	cl22851
Q#85 - >sp|Q8IWS0|PHF6_HUMAN PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1	specific	277181	212	329	3.12812e-75	228.045	cd15711	ePHD2_PHF6	 - 	cl22851
Q#86 - >sp|Q9H4L4|SENP3_HUMAN Sentrin-specific protease 3 OS=Homo sapiens OX=9606 GN=SENP3 PE=1 SV=2	specific	397169	400	572	1.63403e-48	167.248	pfam02902	Peptidase_C48	 - 	cl23802
Q#86 - >sp|Q9H4L4|SENP3_HUMAN Sentrin-specific protease 3 OS=Homo sapiens OX=9606 GN=SENP3 PE=1 SV=2	superfamily	437554	291	388	1.59294e-09	60.6193	cl45124	SENP3_5_N superfamily	N	 - 
Q#87 - >sp|Q8WVC0|LEO1_HUMAN RNA polymerase-associated protein LEO1 OS=Homo sapiens OX=9606 GN=LEO1 PE=1 SV=1	specific	427645	374	536	1.65664e-64	210.122	pfam04004	Leo1	 - 	cl04368
Q#87 - >sp|Q8WVC0|LEO1_HUMAN RNA polymerase-associated protein LEO1 OS=Homo sapiens OX=9606 GN=LEO1 PE=1 SV=1	superfamily	411231	9	361	2.01695e-15	80.3551	cl41352	MSCRAMM_ClfA superfamily	N	 - 
Q#88 - >sp|O43196|MSH5_HUMAN MutS protein homolog 5 OS=Homo sapiens OX=9606 GN=MSH5 PE=1 SV=1	specific	213248	557	763	9.04781e-112	339.663	cd03281	ABC_MSH5_euk	 - 	cl38936
Q#88 - >sp|O43196|MSH5_HUMAN MutS protein homolog 5 OS=Homo sapiens OX=9606 GN=MSH5 PE=1 SV=1	specific	223327	129	813	4.47515e-101	332.327	COG0249	MutS	 - 	cl33816
Q#89 - >sp|Q9H116|GZF1_HUMAN GDNF-inducible zinc finger protein 1 OS=Homo sapiens OX=9606 GN=GZF1 PE=1 SV=1	specific	349520	6	133	1.49197e-78	246.689	cd18211	BTB_POZ_ZBTB23_GZF1	 - 	cl38908
Q#89 - >sp|Q9H116|GZF1_HUMAN GDNF-inducible zinc finger protein 1 OS=Homo sapiens OX=9606 GN=GZF1 PE=1 SV=1	specific	227381	405	593	3.06501e-12	69.3394	COG5048	COG5048	N	cl34881
Q#90 - >sp|Q9Y3T9|NOC2L_HUMAN Nucleolar complex protein 2 homolog OS=Homo sapiens OX=9606 GN=NOC2L PE=1 SV=4	specific	427459	327	622	5.67613e-172	495.101	pfam03715	Noc2	 - 	cl19898
Q#91 - >sp|Q96HJ3|CCD34_HUMAN Coiled-coil domain-containing protein 34 OS=Homo sapiens OX=9606 GN=CCDC34 PE=1 SV=2	specific	433570	102	321	2.67885e-41	144.468	pfam13904	DUF4207	 - 	cl37875
Q#92 - >sp|Q9Y5J1|UTP18_HUMAN U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=UTP18 PE=1 SV=3	specific	225201	270	554	8.04355e-20	92.4591	COG2319	WD40	N	cl43672
Q#93 - >sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	specific	409840	572	649	1.63211e-40	142.746	cd12406	RRM4_NCL	 - 	cl17169
Q#93 - >sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	specific	409838	390	465	6.77646e-38	135.251	cd12404	RRM2_NCL	 - 	cl17169
Q#93 - >sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	specific	409839	485	557	3.59578e-35	127.297	cd12405	RRM3_NCL	 - 	cl17169
Q#93 - >sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	specific	409837	307	381	1.24105e-34	125.993	cd12403	RRM1_NCL	 - 	cl17169
Q#94 - >sp|Q9NQV6|PRD10_HUMAN PR domain zinc finger protein 10 OS=Homo sapiens OX=9606 GN=PRDM10 PE=1 SV=3	specific	380971	203	334	1.51986e-79	256.124	cd19194	PR-SET_PRDM10	 - 	cl40432
Q#94 - >sp|Q9NQV6|PRD10_HUMAN PR domain zinc finger protein 10 OS=Homo sapiens OX=9606 GN=PRDM10 PE=1 SV=3	specific	435482	409	510	2.12537e-37	136.59	pfam16638	Tristanin_u2	N	cl25012
Q#94 - >sp|Q9NQV6|PRD10_HUMAN PR domain zinc finger protein 10 OS=Homo sapiens OX=9606 GN=PRDM10 PE=1 SV=3	superfamily	425404	844	1013	4.61465e-05	47.2285	cl41773	SP1-4_N superfamily	NC	 - 
